,conference,conf_label
0,Conference USA,1
1,Big Ten,2
2,,3
3,Atlantic Sun,4
4,Mountain West,5
5,ACC,6
6,SWAC,7
7,Southern,8
8,FBS Independents,9
9,Rocky Mountain,10
10,Northeast 10,11
11,Pennsylvania State Athletic,12
12,Mid-American,13
13,GLIAC,14
14,MVFC,15
15,CIAA,16
16,NEC,17
17,Great Midwest Athletic,18
18,Independent DII,19
19,South Atlantic,20
20,Big South,21
21,Northern Sun,22
22,CAA,23
23,Mountain East,24
24,Michigan,25
25,Southern Athletic,26
26,NACC,27
27,SEC,28
28,Big 12,29
29,American Athletic,30
30,Great American,31
31,Great Lakes,32
32,Gulf South,33
33,Mid America,34
34,OVC,35
35,Southland,36
36,Western Athletic,37
37,Lone Star,38
38,Big Sky,39
39,Pac-12,40
40,New Jersey,41
41,Commonwealth Coast,42
42,Mid Atlantic,43
43,Sun Belt,44
44,MSCAC,45
45,Liberty League,46
46,NEWMAC,47
47,Centennial,48
48,Presidents',49
49,Empire 8,50
50,Pioneer,51
51,North Coast,52
52,American Southwest,53
53,Ohio,54
54,USA South,55
55,Patriot,56
56,ECFC,57
57,CCIW,58
58,Midwest,59
59,SIAC,60
60,American Rivers,61
61,Heartland,62
62,Wisconsin,63
63,Upper Midwest,64
64,Minnesota,65
65,MEAC,66
66,Northwest,67
67,Old Dominion,68
68,So. Cal.,69
69,Ivy,70
70,NESCAC,71
71,Independent DIII,72
